plot_id,sample_id,lon,lat,email,flagged,collection_time,analysis_duration,imagery_title,imagery_attributions,sample_geom,pl_site,pl_comp10_30,pl_hectares,pl_plotid,smpl_site,smpl_comp10_30,smpl_hectares,smpl_plotid,smpl_sampleid,Is this area forest?,"If area is partially forest, estimate percentage (10, 15, 20)",What is your confidence level in your answer?,Notes on why this area may have been a site of disagreement or is mislabeled?,Would this plot be a good candidate example for any of the following data issues?,Which of the following data issues describes it?,Indicate other issues
140843787,568824647,124.25917333820263,9.617477344823826,,,,,,,POINT(124.259173338203 9.61747734482383),BOHOL,F10,25.2594,0,BOHOL,F10,25.2594,0,1,,,,,,,
140843788,568824648,123.99503129354063,9.666324721854918,,,,,,,POINT(123.995031293541 9.66632472185492),BOHOL,F10,56.2657,1,BOHOL,F10,56.2657,1,1,,,,,,,
140843789,568824657,124.02284979723026,9.822941202302212,,,,,,,POINT(124.02284979723 9.82294120230221),BOHOL,F10,64.6543,10,BOHOL,F10,64.6543,10,1,,,,,,,
140843790,568824649,123.94376817911849,9.684130875913082,,,,,,,POINT(123.943768179118 9.68413087591308),BOHOL,F10,67.483,2,BOHOL,F10,67.483,2,1,,,,,,,
140843791,568824650,123.95827584783206,9.712358341289312,,,,,,,POINT(123.958275847832 9.71235834128931),BOHOL,F10,53.6791,3,BOHOL,F10,53.6791,3,1,,,,,,,
140843792,568824669,124.3522891724686,9.764233647846634,,,,,,,POINT(124.352289172469 9.76423364784663),BOHOL,F10,13.8005,22,BOHOL,F10,13.8005,22,1,,,,,,,
140843793,568824651,124.02227166676568,9.730269694815425,,,,,,,POINT(124.022271666766 9.73026969481542),BOHOL,F10,77.6365,4,BOHOL,F10,77.6365,4,1,,,,,,,
140843794,568824652,123.897269254859,9.77021235664319,,,,,,,POINT(123.897269254859 9.77021235664319),BOHOL,F10,55.1843,5,BOHOL,F10,55.1843,5,1,,,,,,,
140843795,568824676,124.08472880403748,9.95961606322201,,,,,,,POINT(124.084728804037 9.95961606322201),BOHOL,F10,19.0179,29,BOHOL,F10,19.0179,29,1,,,,,,,
140843796,568824653,123.95322040232388,9.785303188886258,,,,,,,POINT(123.953220402324 9.78530318888626),BOHOL,F10,65.6442,6,BOHOL,F10,65.6442,6,1,,,,,,,
140843797,568824655,123.90896807834207,9.823531395454337,,,,,,,POINT(123.908968078342 9.82353139545434),BOHOL,F10,81.5514,8,BOHOL,F10,81.5514,8,1,,,,,,,
140843798,568824654,123.88633992397351,9.794331602989196,,,,,,,POINT(123.886339923974 9.7943316029892),BOHOL,F10,114.6806,7,BOHOL,F10,114.6806,7,1,,,,,,,
140843799,568824665,124.16700254239271,9.908684468614721,,,,,,,POINT(124.167002542393 9.90868446861472),BOHOL,F10,61.3852,18,BOHOL,F10,61.3852,18,1,,,,,,,
140843800,568824656,123.96512227001976,9.82147576972782,,,,,,,POINT(123.96512227002 9.82147576972782),BOHOL,F10,117.4051,9,BOHOL,F10,117.4051,9,1,,,,,,,
140843801,568824671,124.41256314842025,9.798526885870855,,,,,,,POINT(124.41256314842 9.79852688587085),BOHOL,F10,13.3449,24,BOHOL,F10,13.3449,24,1,,,,,,,
140843802,568824658,124.08149565838231,9.8251957675916,,,,,,,POINT(124.081495658382 9.8251957675916),BOHOL,F10,52.3011,11,BOHOL,F10,52.3011,11,1,,,,,,,
140843803,568824659,124.10308081795152,9.835001074636962,,,,,,,POINT(124.103080817952 9.83500107463696),BOHOL,F10,65.5648,12,BOHOL,F10,65.5648,12,1,,,,,,,
140843804,568824677,124.34242337566569,9.706791374450587,,,,,,,POINT(124.342423375666 9.70679137445059),BOHOL,F30,6.0671,30,BOHOL,F30,6.0671,30,1,,,,,,,
140843805,568824660,123.96184829915777,9.844413594511119,,,,,,,POINT(123.961848299158 9.84441359451112),BOHOL,F10,61.7679,13,BOHOL,F10,61.7679,13,1,,,,,,,
140843806,568824661,124.39478745233065,9.849544161654071,,,,,,,POINT(124.394787452331 9.84954416165407),BOHOL,F10,8.415,14,BOHOL,F10,8.415,14,1,,,,,,,
140843807,568824670,124.3940951169935,9.785676746576558,,,,,,,POINT(124.394095116993 9.78567674657656),BOHOL,F10,19.487,23,BOHOL,F10,19.487,23,1,,,,,,,
140843808,568824678,124.36979160491806,9.755973145313266,,,,,,,POINT(124.369791604918 9.75597314531327),BOHOL,F30,7.2797,31,BOHOL,F30,7.2797,31,1,,,,,,,
140843809,568824662,124.02712813101392,9.858462726002859,,,,,,,POINT(124.027128131014 9.85846272600286),BOHOL,F10,75.1065,15,BOHOL,F10,75.1065,15,1,,,,,,,
140843810,568824666,124.09237265506343,10.05710739720088,,,,,,,POINT(124.092372655063 10.0571073972009),BOHOL,F10,76.2013,19,BOHOL,F10,76.2013,19,1,,,,,,,
140843811,568824663,124.12270237638013,9.856788798984985,,,,,,,POINT(124.12270237638 9.85678879898498),BOHOL,F10,64.652,16,BOHOL,F10,64.652,16,1,,,,,,,
140843812,568824667,124.30667983273756,9.702588539262756,,,,,,,POINT(124.306679832738 9.70258853926276),BOHOL,F10,45.8062,20,BOHOL,F10,45.8062,20,1,,,,,,,
140843813,568824664,123.9831120724098,9.860323831194485,,,,,,,POINT(123.98311207241 9.86032383119448),BOHOL,F10,91.8529,17,BOHOL,F10,91.8529,17,1,,,,,,,
140843814,568824668,124.20614113893284,9.644558315259893,,,,,,,POINT(124.206141138933 9.64455831525989),BOHOL,F10,14.4106,21,BOHOL,F10,14.4106,21,1,,,,,,,
140843815,568824672,124.01656012198413,9.946259512045858,,,,,,,POINT(124.016560121984 9.94625951204586),BOHOL,F10,30.1558,25,BOHOL,F10,30.1558,25,1,,,,,,,
140843816,568824673,123.88002250366307,9.85400409252417,,,,,,,POINT(123.880022503663 9.85400409252417),BOHOL,F10,32.5868,26,BOHOL,F10,32.5868,26,1,,,,,,,
140843817,568824674,124.16854420909891,9.653000851948647,,,,,,,POINT(124.168544209099 9.65300085194865),BOHOL,F10,13.8789,27,BOHOL,F10,13.8789,27,1,,,,,,,
140843818,568824675,124.41762608890136,9.873196921928594,,,,,,,POINT(124.417626088901 9.87319692192859),BOHOL,F10,39.1163,28,BOHOL,F10,39.1163,28,1,,,,,,,
140843819,568824679,124.37767544264827,9.761663495537999,,,,,,,POINT(124.377675442648 9.761663495538),BOHOL,F30,9.6303,32,BOHOL,F30,9.6303,32,1,,,,,,,
140843820,568824680,124.37330394146049,9.766316306075524,,,,,,,POINT(124.37330394146 9.76631630607552),BOHOL,F30,10.3884,33,BOHOL,F30,10.3884,33,1,,,,,,,
140843821,568824681,124.38063051861023,9.779337356625826,,,,,,,POINT(124.38063051861 9.77933735662583),BOHOL,F30,6.3693,34,BOHOL,F30,6.3693,34,1,,,,,,,
140843822,568824682,124.00248360302683,9.908041090431382,,,,,,,POINT(124.002483603027 9.90804109043138),BOHOL,F30,0.8335,35,BOHOL,F30,0.8335,35,1,,,,,,,
140843823,568824683,124.21679420908596,10.077673666150275,,,,,,,POINT(124.216794209086 10.0776736661503),BOHOL,F30,0.4545,36,BOHOL,F30,0.4545,36,1,,,,,,,
